County Name,Year,Population,# of FM Physicians,# of IM Physicians,# of P Physicians,Total Physicians,Rate Per 100000
Appling,2013,18440,5,5,1,11,59.65292842
Atkinson,2013,8290,1,0,0,1,12.06272618
Bacon,2013,11216,6,3,1,10,89.15834522
Baker,2013,3341,0,2,0,2,59.86231667
Baldwin,2013,46039,19,21,6,46,99.91528921
Banks,2013,18415,3,0,0,3,16.29106706
Barrow,2013,71453,16,7,4,27,37.78707682
Bartow,2013,101273,29,18,7,54,53.32122086
Ben Hill,2013,17515,7,15,1,23,131.3160148
Berrien,2013,19048,4,0,0,4,20.99958001
Bibb,2013,154721,68,92,37,197,127.3259609
Bleckley,2013,12771,4,2,2,8,62.64192311
Brantley,2013,18292,2,0,1,3,16.40061229
Brooks,2013,15516,3,1,0,4,25.77984016
Bryan,2013,33157,7,4,3,14,42.22336158
Bulloch,2013,71214,20,10,8,38,53.36029432
Burke,2013,22923,9,2,2,13,56.7115997
Butts,2013,23361,7,2,1,10,42.80638671
Calhoun,2013,6523,4,0,0,4,61.32147785
Camden,2013,51476,14,12,7,33,64.10754526
Candler,2013,10937,6,4,1,11,100.5760263
Carroll,2013,112355,27,27,12,66,58.74237907
Catoosa,2013,65311,26,8,10,44,67.36996831
Charlton,2013,13255,3,2,0,5,37.72161449
Chatham,2013,278434,85,100,52,237,85.11891508
Chattahooche,2013,12842,1,0,1,2,15.57389815
Chattooga,2013,25138,5,1,0,6,23.86824728
Cherokee,2013,225106,45,32,25,102,45.31198635
Clarke,2013,121265,40,60,26,126,103.9046716
Clay,2013,3045,0,1,0,1,32.8407225
Clayton,2013,264220,39,47,36,122,46.17364318
Clinch,2013,6795,0,1,0,1,14.71670346
Cobb,2013,717190,146,173,130,449,62.60544626
Coffee,2013,43220,8,13,5,26,60.15733457
Colquitt,2013,46275,13,11,4,28,60.5078336
Columbia,2013,135416,38,20,12,70,51.69256218
Cook,2013,17066,8,0,0,8,46.87683113
Coweta,2013,133180,26,39,13,78,58.56735246
Crawford,2013,12504,2,0,0,2,15.99488164
Crisp,2013,23336,5,10,4,19,81.41926637
Dade,2013,16507,4,7,12,23,139.3348276
Dawson,2013,22686,12,3,4,19,83.7520938
Decatur,2013,27359,8,6,5,19,69.44698271
Dekalb,2013,713340,215,323,253,791,110.8868141
Dodge,2013,21221,7,6,1,14,65.97238584
Dooly,2013,14304,1,1,0,2,13.98210291
Dougherty,2013,92969,31,40,23,94,101.1089718
Douglas,2013,136379,17,25,16,58,42.52854178
