Diagnosed Diabetes; Crude; Number; Adults Aged 20+ Years; Georgia Counties; 2015
Data downloaded on 15-February-2025
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Appling County,Georgia,13001,1150,703,1742
Atkinson County,Georgia,13003,493,307,746
Bacon County,Georgia,13005,601,357,898
Baker County,Georgia,13007,230,136,353
Baldwin County,Georgia,13009,3085,2023,4551
Banks County,Georgia,13011,1179,753,1760
Barrow County,Georgia,13013,5862,3779,8518
Bartow County,Georgia,13015,7871,5464,10893
Ben Hill County,Georgia,13017,1130,712,1680
Berrien County,Georgia,13019,1408,855,1996
Bibb County,Georgia,13021,12775,9270,16600
Bleckley County,Georgia,13023,916,558,1374
Brantley County,Georgia,13025,1147,684,1730
Brooks County,Georgia,13027,1315,858,1946
Bryan County,Georgia,13029,2065,1288,2959
Bulloch County,Georgia,13031,5201,3605,7034
Burke County,Georgia,13033,1484,904,2215
Butts County,Georgia,13035,1454,862,2299
Calhoun County,Georgia,13037,497,315,727
Camden County,Georgia,13039,4010,2698,5529
Candler County,Georgia,13043,737,444,1128
Carroll County,Georgia,13045,8068,5546,11473
Catoosa County,Georgia,13047,4765,3082,6868
Charlton County,Georgia,13049,825,505,1255
Chatham County,Georgia,13051,20989,15741,26730
Chattahoochee County,Georgia,13053,338,194,532
Chattooga County,Georgia,13055,1550,924,2495
Cherokee County,Georgia,13057,11930,8204,16196
Clarke County,Georgia,13059,6463,4248,8957
Clay County,Georgia,13061,270,168,408
Clayton County,Georgia,13063,21368,16544,26104
Clinch County,Georgia,13065,418,254,626
Cobb County,Georgia,13067,40633,32314,49990
Coffee County,Georgia,13069,3286,2151,4667
Colquitt County,Georgia,13071,3186,2107,4635
Columbia County,Georgia,13073,10214,7247,13558
Cook County,Georgia,13075,1174,719,1730
Coweta County,Georgia,13077,8874,5942,12414
Crawford County,Georgia,13079,885,544,1348
Crisp County,Georgia,13081,1767,1126,2651
Dade County,Georgia,13083,1000,611,1551
Dawson County,Georgia,13085,1464,864,2240
Decatur County,Georgia,13087,1910,1228,2701
Dekalb County,Georgia,13089,51413,41724,61730
Dodge County,Georgia,13091,1929,1288,2644
Dooly County,Georgia,13093,1165,729,1714
Dougherty County,Georgia,13095,6737,4796,9306
Douglas County,Georgia,13097,11087,7609,14912
Early County,Georgia,13099,775,478,1162
Echols County,Georgia,13101,194,110,316
Effingham County,Georgia,13103,4253,2765,6028
Elbert County,Georgia,13105,1219,728,1792
Emanuel County,Georgia,13107,1468,909,2153
Evans County,Georgia,13109,706,433,1070
Fannin County,Georgia,13111,2165,1443,3021
Fayette County,Georgia,13113,10266,6951,13544
Floyd County,Georgia,13115,8992,6162,11971
Forsyth County,Georgia,13117,12462,8498,17502
Franklin County,Georgia,13119,1635,969,2444
Fulton County,Georgia,13121,64740,53875,76801
Gilmer County,Georgia,13123,2362,1464,3401
Glascock County,Georgia,13125,187,110,290
Glynn County,Georgia,13127,7273,5195,9879
Gordon County,Georgia,13129,3938,2524,5716
Grady County,Georgia,13131,1626,991,2476
Greene County,Georgia,13133,1389,860,2080
Gwinnett County,Georgia,13135,51190,40385,62071
Habersham County,Georgia,13137,2696,1613,3863
Hall County,Georgia,13139,14812,10778,19994
Hancock County,Georgia,13141,853,544,1247
Haralson County,Georgia,13143,1864,1084,2711
Harris County,Georgia,13145,2456,1581,3470
Hart County,Georgia,13147,2014,1206,2996
Heard County,Georgia,13149,719,432,1093
Henry County,Georgia,13151,18370,13240,24497
Houston County,Georgia,13153,10377,7089,13957
Irwin County,Georgia,13155,695,442,1011
Jackson County,Georgia,13157,4350,2877,6155
Jasper County,Georgia,13159,852,500,1273
Jeff Davis County,Georgia,13161,964,584,1434
Jefferson County,Georgia,13163,1356,866,1936
Jenkins County,Georgia,13165,565,331,857
Johnson County,Georgia,13167,681,415,954
Jones County,Georgia,13169,2118,1368,3268
Lamar County,Georgia,13171,1118,640,1698
Lanier County,Georgia,13173,635,389,967
Laurens County,Georgia,13175,4625,3399,6028
Lee County,Georgia,13177,2020,1270,2905
