Physical Inactivity; Total (Total); Adults Aged 20+ Years; Crude Number; Georgia Counties; 2020
Data downloaded on 18-February-2025
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Peach County,Georgia,13225,3664.0,2333.0,5222.0
Pickens County,Georgia,13227,5038.0,3479.0,6872.0
Pierce County,Georgia,13229,3288.0,2184.0,4437.0
Pike County,Georgia,13231,2852.0,1909.0,3930.0
Polk County,Georgia,13233,8377.0,6136.0,10988.0
Pulaski County,Georgia,13235,1898.0,1243.0,2649.0
Putnam County,Georgia,13237,4193.0,2765.0,5684.0
Quitman County,Georgia,13239,319.0,192.0,486.0
Rabun County,Georgia,13241,2741.0,1712.0,4071.0
Randolph County,Georgia,13243,906.0,550.0,1403.0
Richmond County,Georgia,13245,42569.0,35343.0,50796.0
Rockdale County,Georgia,13247,13542.0,9011.0,18250.0
Schley County,Georgia,13249,575.0,344.0,898.0
Screven County,Georgia,13251,2427.0,1568.0,3527.0
Seminole County,Georgia,13253,1259.0,741.0,1898.0
Spalding County,Georgia,13255,14924.0,11436.0,18631.0
Stephens County,Georgia,13257,3755.0,2278.0,5340.0
Stewart County,Georgia,13259,875.0,494.0,1366.0
Sumter County,Georgia,13261,5490.0,3886.0,7387.0
Talbot County,Georgia,13263,787.0,461.0,1182.0
Taliaferro County,Georgia,13265,203.0,112.0,303.0
Tattnall County,Georgia,13267,4737.0,3075.0,6477.0
Taylor County,Georgia,13269,1233.0,749.0,1804.0
Telfair County,Georgia,13271,2833.0,1901.0,3939.0
Terrell County,Georgia,13273,1236.0,759.0,1832.0
Thomas County,Georgia,13275,9161.0,6682.0,12094.0
Tift County,Georgia,13277,8184.0,6219.0,10297.0
Toombs County,Georgia,13279,4620.0,3119.0,6203.0
Towns County,Georgia,13281,1934.0,1215.0,2812.0
Treutlen County,Georgia,13283,1207.0,773.0,1690.0
Troup County,Georgia,13285,13881.0,10821.0,17170.0
Turner County,Georgia,13287,994.0,622.0,1426.0
Twiggs County,Georgia,13289,1173.0,724.0,1677.0
Union County,Georgia,13291,4587.0,3069.0,6483.0
Upson County,Georgia,13293,5059.0,3478.0,6767.0
Walker County,Georgia,13295,13704.0,10313.0,17629.0
Walton County,Georgia,13297,13628.0,9939.0,18311.0
Ware County,Georgia,13299,7551.0,5524.0,9710.0
Warren County,Georgia,13301,780.0,469.0,1180.0
Washington County,Georgia,13303,3327.0,2199.0,4625.0
Wayne County,Georgia,13305,5825.0,4240.0,7633.0
Webster County,Georgia,13307,321.0,181.0,476.0
Wheeler County,Georgia,13309,1386.0,846.0,1953.0
White County,Georgia,13311,4826.0,3028.0,7125.0
Whitfield County,Georgia,13313,21135.0,17283.0,25200.0
Wilcox County,Georgia,13315,1323.0,825.0,1969.0
Wilkes County,Georgia,13317,1758.0,1124.0,2434.0
Wilkinson County,Georgia,13319,1204.0,739.0,1816.0
Worth County,Georgia,13321,4086.0,2732.0,5577.0
Appling County,Georgia,13001,2928.0,1926.0,4121.0
Atkinson County,Georgia,13003,898.0,535.0,1441.0
Bacon County,Georgia,13005,1488.0,964.0,2122.0
Baker County,Georgia,13007,409.0,242.0,641.0
Baldwin County,Georgia,13009,7784.0,5318.0,10220.0
Banks County,Georgia,13011,2644.0,1550.0,3958.0
Barrow County,Georgia,13013,14560.0,10348.0,19704.0
Bartow County,Georgia,13015,19370.0,14567.0,24226.0
Ben Hill County,Georgia,13017,2604.0,1730.0,3609.0
Berrien County,Georgia,13019,3089.0,1994.0,4364.0
Bibb County,Georgia,13021,28202.0,22255.0,34499.0
Bleckley County,Georgia,13023,2198.0,1525.0,2996.0
Brantley County,Georgia,13025,3745.0,2721.0,5011.0
Brooks County,Georgia,13027,2622.0,1720.0,3715.0
Bryan County,Georgia,13029,5141.0,3265.0,7348.0
Bulloch County,Georgia,13031,13906.0,10581.0,17548.0
Burke County,Georgia,13033,4049.0,2823.0,5328.0
Butts County,Georgia,13035,3520.0,2209.0,5047.0
Calhoun County,Georgia,13037,852.0,505.0,1252.0
Camden County,Georgia,13039,9234.0,6981.0,11646.0
Candler County,Georgia,13043,1400.0,817.0,2174.0
Carroll County,Georgia,13045,22890.0,17461.0,28631.0
Catoosa County,Georgia,13047,14912.0,10913.0,19273.0
Charlton County,Georgia,13049,2072.0,1198.0,2970.0
Chatham County,Georgia,13051,52623.0,41575.0,63707.0
Chattahoochee County,Georgia,13053,960.0,531.0,1498.0
Chattooga County,Georgia,13055,4463.0,3078.0,6012.0
Cherokee County,Georgia,13057,39966.0,31714.0,50039.0
Clarke County,Georgia,13059,17308.0,13368.0,21706.0
Clay County,Georgia,13061,417.0,254.0,628.0
Clayton County,Georgia,13063,59751.0,50756.0,68432.0
Clinch County,Georgia,13065,975.0,628.0,1395.0
Cobb County,Georgia,13067,112449.0,97306.0,128887.0
Coffee County,Georgia,13069,8226.0,5749.0,10707.0
Colquitt County,Georgia,13071,7626.0,5467.0,10161.0
Columbia County,Georgia,13073,26951.0,20623.0,33626.0
Cook County,Georgia,13075,3481.0,2444.0,4641.0
Coweta County,Georgia,13077,28043.0,21899.0,34439.0
Crawford County,Georgia,13079,1938.0,1153.0,2847.0
Crisp County,Georgia,13081,3564.0,2320.0,5129.0
Dade County,Georgia,13083,2400.0,1501.0,3429.0
Dawson County,Georgia,13085,4204.0,2705.0,5987.0
Decatur County,Georgia,13087,5370.0,3985.0,7055.0
Dekalb County,Georgia,13089,112769.0,96341.0,129288.0
Dodge County,Georgia,13091,4587.0,3377.0,5985.0
Dooly County,Georgia,13093,1987.0,1342.0,2906.0
Dougherty County,Georgia,13095,15289.0,12151.0,18730.0
Douglas County,Georgia,13097,26375.0,19801.0,33531.0
Early County,Georgia,13099,1764.0,1190.0,2500.0
Echols County,Georgia,13101,464.0,278.0,709.0
Effingham County,Georgia,13103,10117.0,7187.0,13600.0
Elbert County,Georgia,13105,2852.0,1791.0,3991.0
Emanuel County,Georgia,13107,3297.0,2370.0,4415.0
Evans County,Georgia,13109,1527.0,988.0,2179.0
Fannin County,Georgia,13111,5841.0,4380.0,7466.0
Fayette County,Georgia,13113,16752.0,12477.0,21556.0
Floyd County,Georgia,13115,22380.0,18150.0,26557.0
Forsyth County,Georgia,13117,30582.0,23204.0,39616.0
Franklin County,Georgia,13119,3144.0,1936.0,4813.0
Fulton County,Georgia,13121,149070.0,130588.0,168224.0
Gilmer County,Georgia,13123,6356.0,4605.0,8189.0
Glascock County,Georgia,13125,358.0,202.0,574.0
Glynn County,Georgia,13127,18089.0,14633.0,22052.0
Gordon County,Georgia,13129,12132.0,9259.0,15398.0
Grady County,Georgia,13131,3980.0,2760.0,5514.0
Greene County,Georgia,13133,3063.0,1935.0,4436.0
Gwinnett County,Georgia,13135,139279.0,120026.0,158603.0
Habersham County,Georgia,13137,8442.0,5973.0,11183.0
Hall County,Georgia,13139,32221.0,25796.0,39233.0
Hancock County,Georgia,13141,1154.0,667.0,1779.0
Haralson County,Georgia,13143,5825.0,4078.0,7843.0
Harris County,Georgia,13145,5843.0,3802.0,7851.0
Hart County,Georgia,13147,4316.0,2872.0,5971.0
Heard County,Georgia,13149,1596.0,999.0,2412.0
Henry County,Georgia,13151,41063.0,32960.0,49377.0
Houston County,Georgia,13153,25719.0,20309.0,31353.0
Irwin County,Georgia,13155,1232.0,760.0,1853.0
Jackson County,Georgia,13157,12166.0,8598.0,16291.0
Jasper County,Georgia,13159,1965.0,1228.0,2974.0
Jeff Davis County,Georgia,13161,1673.0,959.0,2588.0
Jefferson County,Georgia,13163,2781.0,1960.0,3833.0
Jenkins County,Georgia,13165,1127.0,687.0,1709.0
Johnson County,Georgia,13167,1745.0,1126.0,2427.0
Jones County,Georgia,13169,4476.0,2944.0,6374.0
Lamar County,Georgia,13171,2674.0,1733.0,3952.0
Lanier County,Georgia,13173,1793.0,1181.0,2636.0
Laurens County,Georgia,13175,11954.0,10239.0,13730.0
Lee County,Georgia,13177,3833.0,2557.0,5440.0
Liberty County,Georgia,13179,11187.0,8113.0,14319.0
Lincoln County,Georgia,13181,1348.0,852.0,1947.0
Long County,Georgia,13183,2624.0,1656.0,3848.0
Lowndes County,Georgia,13185,22516.0,18853.0,26524.0
Lumpkin County,Georgia,13187,3790.0,2157.0,5847.0
Mcduffie County,Georgia,13189,2951.0,1938.0,4223.0
Mcintosh County,Georgia,13191,2251.0,1497.0,3297.0
Macon County,Georgia,13193,2185.0,1438.0,3081.0
Madison County,Georgia,13195,5499.0,3777.0,7414.0
Marion County,Georgia,13197,1148.0,667.0,1720.0
Meriwether County,Georgia,13199,3825.0,2537.0,5340.0
Miller County,Georgia,13201,665.0,407.0,1035.0
Mitchell County,Georgia,13205,3045.0,1831.0,4432.0
Monroe County,Georgia,13207,4728.0,3104.0,6668.0
Montgomery County,Georgia,13209,1086.0,657.0,1636.0
Morgan County,Georgia,13211,3252.0,2121.0,4745.0
Murray County,Georgia,13213,7710.0,5645.0,9971.0
Muscogee County,Georgia,13215,37542.0,31048.0,45119.0
Newton County,Georgia,13217,20945.0,15393.0,26930.0
Oconee County,Georgia,13219,5193.0,3400.0,7514.0
Oglethorpe County,Georgia,13221,2244.0,1426.0,3347.0
Paulding County,Georgia,13223,26824.0,19920.0,34555.0
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
